Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"NRF module","radio transmission",1,5.42,"https://www.aliexpress.com/item/1005005241912338.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.6592meoMmeoMhx&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=eacaed9f-eb0e-45b5-ade8-ee43fe8acf39&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Aeacaed9f-eb0e-45b5-ade8-ee43fe8acf39%2Ctpp_buckets%3A668%232846%238109%231935&pdp_ext_f=%7B""order""%3A""291""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%214.23%214.23%21%21%214.23%214.23%21%402101584917774426703784571e447a%2112000032333846197%21rec%21BD%217350065947%21XZ%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005241912338%7C_p_origin_prod%3A","Aliexpress"
"Esp32_cAM module","Camera",1,12.82,"https://www.aliexpress.com/item/1005011857576433.html?spm=a2g0o.productlist.main.1.6cc63af5oLKl8h&algo_pvid=bf7a7174-abd1-47c4-95cf-0679bdacc2f2&algo_exp_id=bf7a7174-abd1-47c4-95cf-0679bdacc2f2-0&pdp_ext_f=%7B""order""%3A""7""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2125.65%2112.82%21%21%21174.38%2187.19%21%402140c1c317774420506301094ea0e3%2112000056788755244%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=Q127aeazAQX7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011857576433%7C_p_origin_prod%3A","Aliexpress"
"Arduino_nano","Receiver mcu",1,5.00,"https://www.aliexpress.com/item/1005006128051481.html?spm=a2g0o.productlist.main.4.4ac06f37JZIMLo&aem_p4p_detail=202604282252153974800205827620001939672&algo_pvid=a01e8a9b-9f15-4b1c-96fe-54069b5684a5&algo_exp_id=a01e8a9b-9f15-4b1c-96fe-54069b5684a5-3&pdp_ext_f=%7B""order""%3A""5297""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%210.76%210.76%21%21%215.20%215.20%21%40210123bc17774419356264116ef0ff%2112000035881712633%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=yhdIX7sp6if9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006128051481%7C_p_origin_prod%3A&search_p4p_id=202604282252153974800205827620001939672_1","Aliexpress"
"ESC_mini","Speed controlling",4,19.18,"https://www.aliexpress.com/item/1005007979304233.html","Aliexpress"
"5"" drone propellers","Propulsion",4,37.66,"https://www.aliexpress.com/item/1005011765452791.html?spm=a2g0o.productlist.main.14.805apMV1pMV1a2&algo_pvid=7b400ea0-561d-44b9-8d02-c12a9f2bcc8a&algo_exp_id=7b400ea0-561d-44b9-8d02-c12a9f2bcc8a-13&pdp_ext_f=%7B""order""%3A""3""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%213.99%212.31%21%21%213.99%212.31%21%402102f0cc17774416326018213e6ec2%2112000056473515893%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=pjXXiBUL4zLu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011765452791%7C_p_origin_prod%3A","Aliexpress"
"6s 1400mah battery","power",1,19.13,"https://www.aliexpress.com/item/1005012032140082.html?spm=a2g0o.productlist.main.26.786e41aeNlfLlH&algo_pvid=b7c65da6-8e29-4846-83d7-3eaba8e60629&algo_exp_id=b7c65da6-8e29-4846-83d7-3eaba8e60629-25&pdp_ext_f=%7B""order""%3A""20""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2124.12%2118.09%21%21%21164.00%21123.00%21%402140f53817774414244476735e03b9%2112000057323335497%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=yTc2qr6SR0op&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012032140082%7C_p_origin_prod%3A","Aliexpress"
"BLDC motor","Motor",4,76.46,"https://www.aliexpress.com/item/1005008549550519.html?spm=a2g0o.productlist.main.19.2742qfLIqfLIXz&algo_pvid=f6d38fd5-9a64-49b1-86b1-b29b40fabb2b&algo_exp_id=f6d38fd5-9a64-49b1-86b1-b29b40fabb2b-18&pdp_ext_f=%7B""order""%3A""569""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2110.00%2110.00%21%21%2168.00%2168.00%21%402102eaa317774410907924708e0f55%2112000045662572005%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=RAS3LoRXHoS2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008549550519%7C_p_origin_prod%3A","Aliexpress"
"Esp32","flight_controller_mcu",1,7.77,"https://aliexpress.com","Aliexpress"
"pcb","Flight controller and receiver",5,20.00,"https://jlcpcb.com","jlcpcb"
"Frame","The drone frame",1,15.00,"https://souptik.me","Printing-legion"
